ecs3,timestamp,name,serialnumber,delivereddate,delivered,firmwareversion,pt,t1,t0,hts2,ecs1,rbs0,ras0,ecs4,ecs2,ecs13,ics12,ics11,ics13,ics15,ics9,ics3,ics2,ics1,ifs28,ifs29,ifs27,ifs6,ifs18,ifs4,ifs3,ifs2,ifs1,hts4,id,partition_0,partition_1,partition_2,partition_3
,1593489695,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:01:35.333,1.59349E+12,1,PIF0,,,,,,,1.26,-59,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489699,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:01:39.958,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489706,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:01:46.356,1.59349E+12,1,PIF0,,,,,,,1.26,-59,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489710,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:01:50.651,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489717,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:01:57.329,1.59349E+12,1,PIF0,,,,,,,1.26,-59,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489721,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:02:02.116,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489728,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:02:08.352,1.59349E+12,1,PIF0,,,,,,,1.26,-58,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489732,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:02:12.717,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489739,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:02:19.356,1.59349E+12,1,PIF0,,,,,,,1.26,-59,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489743,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:02:24.186,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489750,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:02:30.272,1.59349E+12,1,PIF0,,,,,,,1.26,-58,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489753,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:02:34.031,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489761,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:02:41.327,1.59349E+12,1,PIF0,,,,,,,1.26,-59,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489766,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:02:46.301,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
