ecs3,timestamp,name,serialnumber,delivereddate,delivered,firmwareversion,pt,t1,t0,hts2,ecs1,rbs0,ras0,ecs4,ecs2,ecs13,ics12,ics11,ics13,ics15,ics9,ics3,ics2,ics1,ifs28,ifs29,ifs27,ifs6,ifs18,ifs4,ifs3,ifs2,ifs1,hts4,id,partition_0,partition_1,partition_2,partition_3
,1586902553,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:15:54.911,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902562,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:16:02.759,1.5869E+12,1,PIF0,,,,,,,1.14,-67,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902567,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:16:08.010,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902597,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:16:37.593,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902628,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:17:08.648,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902658,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:17:38.955,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902689,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:18:10.088,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902721,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:18:41.208,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902752,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:19:12.340,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902782,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:19:42.796,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902813,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:20:13.839,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902845,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:20:45.749,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
,1586902875,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-04-14 22:21:17.668,1.5869E+12,1,PIF0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,4,14,22
